uid,cluster
6390785,3
50202324,0
66602224,0
64543048,0
5276998,1
33413235,3
1268447,1
30681651,3
89070833,3
10270455,3
50157457,1
11825869,3
54704534,0
77030498,1
7696,0
65615539,3
12929306,3
36032280,3
69677601,2
86799386,1
18144321,3
33175621,3
10428627,1
51713386,0
93867177,3
16330078,1
84313850,1
48228459,3
53869371,0
86849487,1
90770203,1
15283757,0
25694246,1
42381464,0
1859409,0
91524218,1
79493185,1
11202165,3
87583762,0
76387654,0
3627006,2
12071616,0
7311109,0
83918759,1
21041297,2
97584421,3
93913522,2
12477876,1
60709882,1
84802552,1
67932962,1
69126055,0
28216605,1
97942535,3
76829215,3
70354782,0
12208524,3
61765771,1
41496787,3
93162913,0
24598507,1
54994928,3
14713330,1
88972091,3
289382,1
14575631,0
88757520,0
77329745,0
805148,1
21402944,2
2215570,1
6911980,0
65975510,3
82362218,1
36828869,0
35901266,0
12892754,3
70923902,3
61131705,2
65248942,1
46095206,3
26011806,0
59172338,3
44205959,0
12836451,0
9900462,1
13283841,3
19040394,1
83638374,1
74582464,0
83175916,1
69277191,3
84345905,3
49783735,1
87804386,1
57235714,1
12407675,1
72100219,3
31692649,0
76462504,1
33447407,1
82972264,1
17910262,0
78927049,1
6104900,1
64904504,0
42927600,1
3977934,1
13735746,1
93319614,3
79055505,0
36795529,3
51527655,0
67594368,0
17608305,2
98602940,0
44729714,0
81413683,1
51884840,3
7236792,1
87448979,1
99043452,0
3713129,1
18342024,1
34929070,3
78290280,0
65169216,0
35121800,1
19272467,1
25063028,1
46963796,0
45389023,0
68652128,2
15653901,2
53867513,3
8608475,1
78577374,3
36208043,2
3453087,1
20485092,0
48985376,1
73000488,0
70843583,3
49830293,1
59867234,0
16645981,1
87575309,1
28709824,0
64349466,3
3434642,1
96260326,3
13526504,0
7464034,1
45673320,1
26471167,1
68378998,0
77689313,1
28333029,2
98370160,1
23378025,3
43487042,0
37263409,2
74435098,0
87624489,3
86513296,1
30715387,1
31451550,0
30467767,3
75699970,3
41155530,1
85120969,3
31235587,2
3997857,0
28794905,1
77076489,3
38543869,1
50119745,1
87440577,0
97790273,2
88133799,1
90490590,1
94425482,0
71624860,1
66300953,0
52403507,0
71148885,0
5854400,1
33756448,1
43056736,0
44680503,0
30635333,1
34967461,0
95739045,0
50503827,0
84089915,1
54744288,1
7024535,3
21702969,3
30529014,3
88893075,3
24168250,3
8949738,1
25875294,0
96529003,1
60324795,0
32677010,3
84341143,3
30569409,1
88897486,3
18483697,3
81505845,1
2292489,0
98242634,0
85454835,1
