uid,days_since_last,transactions,total_spending,tenure
6390785,161.0,1,34.0,161.0
50202324,36.0,3,41.75,161.0
66602224,41.0,2,53.0,161.0
64543048,3.0,15,208.68,161.0
5276998,161.0,1,5.0,161.0
33413235,161.0,1,38.5,161.0
1268447,161.0,1,14.99,161.0
30681651,64.0,3,85.5,161.0
89070833,92.0,2,29.48,161.0
10270455,76.0,4,82.97,161.0
50157457,161.0,1,18.5,161.0
11825869,74.0,5,64.49,161.0
54704534,3.0,7,69.48,161.0
77030498,161.0,1,19.5,161.0
7696,56.0,3,78.0,161.0
65615539,109.0,2,46.97,161.0
12929306,125.0,3,81.94,160.0
36032280,146.0,2,23.98,160.0
69677601,42.0,3,28.0,160.0
86799386,160.0,1,7.5,160.0
18144321,102.0,2,45.75,160.0
33175621,123.0,2,42.5,160.0
10428627,160.0,1,11.49,160.0
51713386,4.0,8,129.94,160.0
93867177,160.0,1,24.0,160.0
16330078,160.0,1,14.99,160.0
84313850,158.0,1,8.5,158.0
48228459,69.0,3,104.49,158.0
53869371,42.0,7,158.46,158.0
86849487,118.0,2,18.0,158.0
90770203,158.0,1,8.5,158.0
15283757,8.0,3,61.480000000000004,158.0
25694246,133.0,2,17.25,158.0
42381464,11.0,7,258.64,158.0
1859409,30.0,5,214.49,158.0
91524218,133.0,2,19.490000000000002,158.0
79493185,70.0,2,8.0,158.0
11202165,95.0,2,24.0,157.0
87583762,16.0,3,143.96,157.0
76387654,32.0,2,88.4,157.0
3627006,51.0,3,14.49,157.0
12071616,23.0,4,280.89,157.0
7311109,11.0,8,170.48,156.0
83918759,156.0,1,16.98,156.0
21041297,38.0,2,34.0,156.0
97584421,107.0,5,39.49,156.0
93913522,11.0,2,25.98,156.0
12477876,156.0,1,14.5,156.0
60709882,111.0,2,16.5,156.0
84802552,156.0,1,5.48,156.0
67932962,156.0,1,11.5,156.0
69126055,2.0,5,200.86,156.0
28216605,156.0,1,2.5,156.0
97942535,127.0,2,32.5,156.0
76829215,119.0,6,62.47,155.0
70354782,51.0,6,125.47,155.0
12208524,155.0,1,90.98,155.0
61765771,155.0,1,9.99,155.0
41496787,69.0,3,57.400000000000006,155.0
93162913,1.0,3,73.0,155.0
24598507,155.0,1,17.97,155.0
54994928,155.0,1,26.46,155.0
14713330,154.0,1,14.98,154.0
88972091,52.0,4,50.01,154.0
289382,140.0,3,13.0,154.0
14575631,11.0,6,194.17000000000002,154.0
88757520,41.0,6,91.46000000000001,154.0
77329745,23.0,2,65.5,154.0
805148,154.0,1,4.5,154.0
21402944,42.0,2,14.5,154.0
2215570,154.0,1,4.0,154.0
6911980,41.0,2,130.49,154.0
65975510,154.0,1,30.490000000000002,154.0
82362218,154.0,1,17.98,154.0
36828869,14.0,4,61.15,154.0
35901266,22.0,4,84.34,154.0
12892754,154.0,1,59.980000000000004,154.0
70923902,153.0,1,32.99,153.0
61131705,51.0,2,8.0,153.0
65248942,153.0,1,4.0,153.0
46095206,153.0,1,26.49,153.0
26011806,50.0,6,120.91,153.0
59172338,139.0,2,53.97,153.0
44205959,34.0,5,82.45,153.0
12836451,41.0,3,45.97,153.0
9900462,151.0,1,6.24,151.0
13283841,151.0,1,41.0,151.0
19040394,151.0,1,17.990000000000002,151.0
83638374,151.0,1,5.0,151.0
74582464,15.0,6,98.97,151.0
83175916,151.0,1,4.99,151.0
69277191,151.0,1,75.0,151.0
84345905,151.0,1,57.0,151.0
49783735,151.0,1,16.97,151.0
87804386,151.0,1,9.99,151.0
57235714,151.0,1,19.5,151.0
12407675,86.0,2,12.48,151.0
72100219,149.0,2,48.980000000000004,151.0
31692649,38.0,3,99.19,150.0
76462504,150.0,1,6.0,150.0
33447407,150.0,1,14.0,150.0
82972264,150.0,1,18.5,150.0
17910262,20.0,6,144.45,150.0
78927049,150.0,1,5.99,150.0
6104900,150.0,1,9.99,150.0
64904504,56.0,4,137.42,150.0
42927600,150.0,1,16.490000000000002,150.0
3977934,150.0,1,16.98,150.0
13735746,150.0,1,7.0,150.0
93319614,134.0,2,22.490000000000002,150.0
79055505,4.0,3,72.5,149.0
36795529,149.0,1,38.480000000000004,149.0
51527655,16.0,3,49.71,149.0
67594368,38.0,3,47.0,149.0
17608305,17.0,4,30.97,149.0
98602940,29.0,2,50.49,149.0
44729714,6.0,6,243.9,149.0
81413683,149.0,1,16.5,149.0
51884840,70.0,2,59.47,149.0
7236792,149.0,1,15.0,149.0
87448979,148.0,1,8.0,148.0
99043452,37.0,4,158.72,148.0
3713129,148.0,1,15.5,148.0
18342024,148.0,1,8.0,148.0
34929070,148.0,1,23.490000000000002,148.0
78290280,29.0,4,67.97,148.0
65169216,17.0,2,86.42,148.0
35121800,148.0,1,10.0,148.0
19272467,148.0,1,13.98,148.0
25063028,148.0,1,14.47,148.0
46963796,36.0,3,57.0,147.0
45389023,57.0,4,294.04,147.0
68652128,27.0,2,29.47,147.0
15653901,41.0,2,19.0,147.0
53867513,109.0,3,71.74,147.0
8608475,123.0,2,18.490000000000002,147.0
78577374,147.0,1,40.980000000000004,147.0
36208043,24.0,2,15.0,147.0
3453087,147.0,1,18.92,147.0
20485092,3.0,9,726.37,146.0
48985376,146.0,1,16.97,146.0
73000488,35.0,5,160.87,146.0
70843583,122.0,3,56.49,146.0
49830293,146.0,1,11.98,146.0
59867234,24.0,3,123.47,146.0
16645981,146.0,1,12.5,146.0
87575309,144.0,1,9.0,144.0
28709824,39.0,4,50.0,144.0
64349466,127.0,2,62.0,144.0
3434642,144.0,1,9.0,144.0
96260326,144.0,1,90.96000000000001,144.0
13526504,3.0,7,142.48,144.0
7464034,143.0,1,3.25,143.0
45673320,143.0,1,17.0,143.0
26471167,143.0,1,5.0,143.0
68378998,36.0,3,49.5,143.0
77689313,143.0,1,11.0,143.0
