uid,order_no,date,qty,price,genre,author
6390785,10005,2023-09-22,1,5.0,American History,"Sandford, John"
6390785,10005,2023-09-22,1,5.0,American History,"Sandford, John"
6390785,10005,2023-09-22,1,5.0,American History,"Sandford, John"
6390785,10005,2023-09-22,1,5.0,American History,"Sandford, John"
6390785,10005,2023-09-22,1,5.0,American History,"Sandford, John"
6390785,10005,2023-09-22,1,5.0,American History,"Grisham, John"
6390785,10005,2023-09-22,1,4.0,American History,"Grisham, John"
50202324,10011,2023-09-22,1,4.0,American History,"Martin, Kat"
50202324,10011,2023-09-22,1,3.5,American History,"Doner, Kalia"
66602224,10014,2023-09-22,1,5.0,American History,"Patterson, James"
66602224,10014,2023-09-22,1,5.0,American History,"Patterson, James,Roughan, Howard"
66602224,10014,2023-09-22,1,5.0,American History,"Patterson, James,DiLallo, Max"
66602224,10014,2023-09-22,1,5.0,American History,"Patterson, James,de Jonge, Peter"
64543048,10016,2023-09-22,1,5.0,American History,"Brokaw, Charles"
64543048,10016,2023-09-22,1,7.48,American History,"Ramsdell, Mike"
64543048,10016,2023-09-22,1,5.0,Stationery,
5276998,10022,2023-09-22,1,5.0,American History,"Butcher, Jim"
33413235,10018,2023-09-22,1,5.0,American History,"Woods, Stuart"
33413235,10018,2023-09-22,1,5.0,American History,"Grisham, John"
33413235,10018,2023-09-22,1,10.0,American History,"Harbison, Beth"
33413235,10018,2023-09-22,1,10.0,American History,"Harbison, Beth"
33413235,10018,2023-09-22,1,8.5,American History,"Grisham, John"
1268447,10024,2023-09-22,1,14.99,Horror,"King, Stephen"
30681651,10025,2023-09-22,1,3.0,American History,"Cussler, Clive,Du Brul, Jack"
30681651,10025,2023-09-22,1,9.0,American History,"Brown, Sandra"
30681651,10025,2023-09-22,1,4.5,American History,"Evanovich, Janet"
30681651,10025,2023-09-22,1,4.0,American History,"Evanovich, Janet,Hughes, Charlotte"
30681651,10025,2023-09-22,1,5.0,American History,"Hoag, Tami"
89070833,10026,2023-09-22,1,2.5,American History,"Lupica, Mike"
89070833,10026,2023-09-22,1,4.5,American History,"Lowry, Lois"
89070833,10026,2023-09-22,1,3.0,American History,"Burnett, Frances Hodgson"
89070833,10026,2023-09-22,1,1.5,American History,"DiCamillo, Kate"
89070833,10026,2023-09-22,1,5.0,American History,"Boyne, John"
89070833,10026,2023-09-22,1,1.0,American History,"Gutman, Dan"
89070833,10026,2023-09-22,1,1.98,American History,"Mazer, Harry"
10270455,10027,2023-09-22,1,5.0,American History,"Steel, Danielle"
10270455,10027,2023-09-22,1,6.5,American History,"Bryndza, Robert"
50157457,10028,2023-09-22,1,4.5,American History,"Jeffries, Sabrina"
50157457,10028,2023-09-22,1,7.0,American History,"Keplinger, Kody"
50157457,10028,2023-09-22,1,7.0,American History,"Britt, Paige"
11825869,10029,2023-09-22,1,10.5,Fantasy,"Bardugo, Leigh"
54704534,10030,2023-09-22,1,4.99,Stationery,
54704534,10030,2023-09-22,1,4.99,American History,
77030498,10032,2023-09-22,1,5.0,American History,"Cameron, Marc"
